Team,Rank,GK,DEF,ATT,MID
Brazil,1,89.0,84.8,86.3,85.5
Belgium,2,89.0,80.8,85.7,85.5
France,3,87.0,84.2,88.3,86.8
Argentina,4,84.0,82.2,89.0,84.0
England,5,83.0,85.0,88.0,84.0
Spain,7,84.0,86.5,85.0,86.0
Portugal,8,82.0,85.2,86.0,84.5
Mexico,9,80.0,76.8,82.7,78.2
Netherlands,10,81.0,85.2,83.0,83.5
Denmark,11,85.0,80.2,77.7,80.2
Germany,12,90.0,84.0,82.7,87.8
Uruguay,13,80.0,81.2,84.3,80.0
Switzerland,14,85.0,78.5,76.7,79.5
USA,15,77.0,75.8,77.7,75.8
Croatia,16,82.0,77.8,76.7,84.2
Wales,18,74.0,75.0,73.0,78.5
Senegal,20,83.0,79.0,80.7,79.0
IR Iran,21,73.0,69.0,75.3,69.0
Japan,23,73.0,75.2,75.0,77.5
Morocco,24,82.0,81.2,81.7,76.2
Serbia,25,80.0,75.8,80.3,81.8
Poland,26,87.0,75.2,84.7,75.8
Korea Republic,29,75.0,73.0,80.0,73.8
Costa Rica,31,88.0,71.5,70.3,69.2
Tunisia,35,58.0,70.8,72.3,74.0
Cameroon,37,67.0,76.8,77.7,75.0
Canada,38,76.0,69.2,73.0,78.0
Australia,42,77.0,72.0,72.3,73.5
Ecuador,46,71.0,73.5,76.0,74.5
Saudi Arabia,49,70.0,72.8,67.7,72.8
Qatar,52,60.0,60.0,60.0,60.0
Ghana,60,74.0,75.5,76.0,78.2
